,住址,物件說明,面積,房,衛,廳,物件類型,樓層,租金
0,台中市西屯區精誠路,✓全新一層兩戶✓陽台獨洗+流理臺✓室內機車位✓,13.6坪,1,1,,獨立套房/透天厝,3樓/5樓,"11,999元"
1,台中市西屯區國安二路,百萬裝潢飯店套房⭐車位可租⭐可租補戶籍⭐1月中可住,14.23坪,1,1,,獨立套房/電梯大廈,7樓/9樓,"14,499元"
2,台中市西屯區福星路,時尚裝潢⭐陽台獨曬⭐有電梯⭐逢甲僑光,9坪,1,1,,獨立套房/電梯大廈,4樓/9樓,"6,499元"
3,台中市西屯區文華路正煌巷,文華路✨獨洗陽台✨可無聲寵物✨台水電✨子母車,13坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"8,999元"
4,台中市西屯區文華路正煌巷,秒殺台水電可寵✅近逢甲電梯✅陽台獨洗✅,12坪,-,,,獨立套房/電梯大廈,6樓/8樓,"8,999元"
5,台中市西屯區文華路正煌巷,絕對秒殺✨陽台獨洗✨台水台電✨電梯管理員,14坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"8,999元"
6,台中市西屯區中清西二街,絕美系統裝潢✨類一房一廳✨陽台獨洗✨超好停車,18坪,1,1,1,獨立套房/透天厝,3樓/5樓,"12,999元"
7,台中市西屯區順和三街,西屯區⚡秒殺一房一廳⚡有小廚房⚡陽台獨洗,18坪,1,1,1,整層住家/透天厝,5樓/8樓,"16,000元"
8,台中市西屯區國安一路,西屯區⚡世紀凱悅⚡秒殺一房一廳⚡含平面車位,18坪,1,1,1,整層住家/電梯大廈,5樓/15樓,"16,000元"
9,台中市西屯區國安一路,全新高級兩房⭐可家庭租補戶籍⭐流理臺⭐洗脫烘洗衣機,22.65坪,2,2,2,整層住家/電梯大廈,6樓/9樓,"25,000元"
10,台中市西屯區國安一路,全新高級套房⭐科技園區⭐乾濕分離⭐流理台⭐陽台獨洗,15.37坪,-,,,獨立套房/電梯大廈,6樓/9樓,"14,500元"
11,台中市西屯區大有東街,近勤美免爬高✅陽台獨洗✅流理臺✅只想跟妳住✅,12坪,-,,,獨立套房/公寓,2樓/5樓,"11,999元"
12,台中市西屯區西屯路二段上石北二巷,⭐電梯管理員❤️陽台獨洗❤️可貓貓,16坪,1,1,,獨立套房/電梯大廈,3樓/10樓,"12,999元"
13,台中市西屯區西屯路二段上石北二巷,⭐市政府逢甲⭐電梯管理員⭐子母車⭐可貓⭐陽台獨洗,16坪,1,1,1,獨立套房/華廈,3樓/9樓,"12,999元"
14,台中市西屯區太原路一段,全新整理❤電梯系統裝潢~採光佳~子母車/生活機能優,15坪,1,1,1,獨立套房/華廈,5樓/8樓,"13,499元"
15,台中市西屯區中清西二街,水湳中國醫❤陽台獨洗~衛浴開窗❤子母車,13坪,1,1,1,獨立套房/公寓,3樓/5樓,"12,999元"
16,台中市西屯區長安路二段,超值得●一房一廳●獨洗曬●近水湳經貿●免爬高,13.23坪,1,1,1,獨立套房/透天厝,2樓/2樓,"7,999元"
17,台中市西屯區福中三街,西屯區⚡全新整理套房⚡有機車位流理台⚡陽台獨洗,12坪,1,1,1,獨立套房/透天厝,4樓/6樓,"11,000元"
18,台中市西屯區至善路,近新光遠百、秋紅谷美三房+平面車位，37.18坪,37.14坪,3,2,2,整層住家/電梯大廈,14樓/14樓,"32,000元"
19,台中市西屯區石平街,西屯區⚡秒殺電梯套房⚡陽台獨洗,10坪,1,1,1,獨立套房/透天厝,3樓/5樓,"8,500元"
20,台中市西屯區何厝東二街,秒殺電梯管理員✅陽台獨洗✅精美裝潢,15坪,-,,,獨立套房/電梯大廈,4樓/13樓,"10,999元"
21,台中市西屯區中平路,電梯❤陽台獨洗❤中國醫旁❤限當人入住❤環境清幽❤,11坪,1,1,1,獨立套房/電梯大廈,4樓/6樓,"8,499元"
22,台中市西屯區長安路二段,秒殺別猶豫了♡近中清文心站♡獨洗凸窗曬♡機車位,12坪,1,1,,獨立套房/透天厝,2樓/5樓,"7,999元"
23,台中市西屯區中平路,秒殺全新唷♡陽台獨洗曬超棒♡採光好到沒話說♡子母車,11坪,1,1,,獨立套房/電梯大廈,3樓/10樓,"8,499元"
24,台中市西屯區福上巷,⭐逢甲⭐中國醫校區⭐可短租⭐可租補⭐子母車⭐機車位,8坪,1,1,,獨立套房/透天厝,1樓/6樓,"6,500元"
25,台中市西屯區中清路二段,水湳之最✨陽台子母車✨電梯別墅✨超大間,14坪,1,,1,獨立套房/別墅,2樓/5樓,"9,999元"
26,台中市西屯區長安路二段,可寵⭐正一房一廳⭐陽台獨洗⭐子母車⭐飲水機⭐,14.2坪,1,1,1,整層住家/公寓,4樓/5樓,"11,500元"
27,台中市西屯區寶慶街,電梯管理員❤可寵三房❤附平面車位❤家具電齊全❤,30坪,3,2,2,整層住家/電梯大廈,2樓/18樓,"25,000元"
28,台中市西屯區寶慶街,三房台水電✨24小時管理員✨含車位✨家具全配近逢甲,35坪,3,2,2,整層住家/電梯大廈,2樓/7樓,"22,999元"
29,台中市西屯區天水東街,✨電梯✨精美兩房✨採光佳✨子母車✨流理臺,18坪,2,1,1,整層住家/電梯大廈,4樓/6樓,"14,800元"
30,台中市西屯區福聯街,可貓咪兒♡舒適大空間♡採光超好♡陽台獨洗曬,16坪,1,1,1,獨立套房/電梯大廈,4樓/8樓,"11,499元"
31,台中市西屯區精誠路,全新未住⭐近西區⭐陽台獨洗⭐採光佳⭐流理台⭐機車位,13.03坪,-,,,獨立套房/透天厝,4樓/5樓,"11,000元"
32,台中市西屯區慶和街,近逢甲夜市♡限定學生♡電梯最輕鬆♡限定機車位,8坪,1,1,,獨立套房/透天厝,5樓/7樓,"4,499元"
33,台中市西屯區福中十五街,近世貿✨乾溼分離✨限女生✨很新小資最愛,10.23坪,1,1,,獨立套房/透天厝,2樓/4樓,"6,999元"
34,台中市西屯區寶慶街,絕對秒殺✨三房兩廳二衛✨家具電全配✨含平車位,52坪,3,2,2,整層住家/電梯大廈,2樓/14樓,"24,999元"
35,台中市西屯區大墩十八街,❤七期市政特區第一排，大空間四房附傢俱電，皮箱入住,43坪,4,2,2,整層住家/電梯大廈,17樓/21樓,"25,500元"
36,台中市西屯區寶慶街,秒殺三房一廳別錯過♡台水電最省錢♡傢俱全配,53坪,3,2,1,獨立套房/電梯大廈,2樓/14樓,"24,999元"
37,台中市西屯區逢甲路,逢甲路✨可貓可短租✨獨洗大窗戶✨精美裝潢,15坪,1,1,,獨立套房/透天厝,4樓/5樓,"7,499元"
38,台中市西屯區福聯街,超大一房一廳可貓奔跑陽台獨洗近榮總澄清,15坪,1,1,1,獨立套房/電梯大廈,4樓/6樓,"12,500元"
39,台中市西屯區環中路二段,西屯區⚡兩房一廳⚡含機車位⚡機械車位,25坪,2,1,1,整層住家/電梯大廈,11樓/15樓,"24,800元"
40,台中市西屯區河南路一段,西屯區⚡秒殺電梯套房⚡可租補報稅入戶籍⚡陽台獨洗,16坪,1,1,1,獨立套房/透天厝,3樓/6樓,"14,000元"
41,台中市西屯區至善路,電梯管理員❤木質地❤冬天裡的暖陽❤房東說要降價❤❤,10坪,1,1,1,獨立套房/電梯大廈,9樓/11樓,"6,999元"
42,台中市西屯區順和七街,全新未住♡電梯最輕鬆♡陽台獨洗曬♡採光超好,12坪,1,1,1,獨立套房/電梯大廈,3樓/8樓,"9,499元"
43,台中市西屯區至善路,小資首選/電梯管理員/共用廚房/近中科74逢甲,9坪,-,,,獨立套房/電梯大廈,9樓/10樓,"6,999元"
44,台中市西屯區國安一路,❤️超大空間台水電❤️含平車陽台獨洗浴缸,18坪,-,,,獨立套房/電梯大廈,5樓/10樓,"16,500元"
45,台中市西屯區寧夏西四街,可報稅租補陽台獨洗衛浴窗流理台,15坪,-,,,獨立套房/電梯大廈,6樓/8樓,"9,000元"
46,台中市西屯區寧夏西四街,西屯區⚡秒殺電梯管理員小套房⚡流理臺⚡陽台獨洗,10坪,1,1,1,獨立套房/透天厝,5樓/7樓,"8,000元"
47,台中市西屯區台灣大道三段,對面逛新光三越♡系統櫃超美♡陽台獨曬♡免追垃圾車,16坪,1,1,,獨立套房/透天厝,2樓/3樓,"11,999元"
48,台中市西屯區台灣大道三段,新光三越✔全新整理✨室內機車位,16坪,1,1,,獨立套房/透天厝,1樓/3樓,"8,999元"
49,台中市西屯區慶和街,⭐逢甲⭐電梯獨曬限學生⭐超便宜好採光套房⭐可加冰箱,8坪,1,1,,獨立套房/透天厝,6樓/7樓,"4,500元"
50,台中市西屯區台灣大道三段,西屯區⚡對面就是新光三越⚡全新裝潢⚡有陽台,14坪,1,1,1,獨立套房/透天厝,2樓/4樓,"12,000元"
51,台中市西屯區台灣大道三段,新光三越✔一房一廳✨室內機車位,16坪,1,1,1,獨立套房/透天厝,2樓/5樓,"10,999元"
52,台中市西屯區文心路三段,遠百/新光/市政文心商圈-精品飯店式管理1房1廳,11.98坪,1,1,1,獨立套房/電梯大廈,14樓/26樓,"18,000元"
53,台中市西屯區台灣大道三段,西屯區⚡走路到新光三越⚡兩房⚡陽台獨洗,25坪,2,1,,整層住家/透天厝,3樓/4樓,"22,000元"
54,台中市西屯區精明一街,⭐科博館市政府⭐全新完工⭐變頻冷暖⭐陽台獨洗曬,15坪,1,1,1,獨立套房/透天厝,3樓/5樓,"11,999元"
55,台中市西屯區朝馬七街,全新秒殺✅四房平車✅台水電梯管理員✅高級社區,66坪,4,2,2,整層住家/電梯大廈,9樓/15樓,"37,999元"
56,台中市西屯區國安二路,整棟全新超美⭐陽台獨洗⭐可租補⭐汽車位⭐近中科榮總,12.5坪,-,,,獨立套房/電梯大廈,5樓/10樓,"14,500元"
57,台中市西屯區台灣大道三段,與新光三越當鄰居✨共洗獨曬✨超大空間✨子母車,15坪,1,1,1,獨立套房/透天厝,2樓/4樓,"11,999元"
58,台中市西屯區台灣大道三段,對面逛新光三越♡全新兩房一陽台獨洗曬♡免追垃圾車,25坪,2,,,整層住家/透天厝,3樓/4樓,"21,999元"
59,台中市西屯區四川路,稀有釋出✨小資首選✨獨洗獨曬流理台✨絕美採光,14坪,1,1,,獨立套房/透天厝,4樓/5樓,"6,999元"
60,台中市西屯區河南路一段,小資首選✨木質地板✨絕美採光✨電梯套房,13坪,1,1,,獨立套房/電梯大廈,5樓/8樓,"6,499元"
61,台中市西屯區至善路,超級大空間✨雙陽台獨洗流理台✨管理員✨秒殺套房,19坪,1,1,,獨立套房/電梯大廈,11樓/12樓,"11,999元"
62,台中市西屯區福上巷龍欣三弄,⭐逢甲首選❤️電梯❤️陽台獨曬❤️年繳優惠,12坪,1,1,,獨立套房/電梯大廈,7樓/8樓,"8,499元"
63,台中市西屯區逢甲路,⭐可租補❤️爬三樓❤️大空間,10坪,1,1,,獨立套房/透天厝,3樓/5樓,"5,999元"
64,台中市西屯區福中十五街,小資女限定✨系統裝潢✨乾濕分離✨秒殺套房,14坪,1,1,,獨立套房/透天厝,2樓/5樓,"6,999元"
65,台中市西屯區青海路二段,稀有釋出✨超級大空間✨陽台獨洗流理臺✨一房一廳,19坪,1,1,1,獨立套房/透天厝,1樓/5樓,"14,499元"
66,台中市西屯區皇城街,整棟新蓋✨陽台獨洗✨絕美採光✨衛浴開窗/可入戶籍,16坪,1,1,,獨立套房/電梯大廈,4樓/7樓,"11,499元"
67,台中市西屯區朝貴路,朝馬✨精美一房一廳浴缸✔飲水機子母車,11坪,1,1,1,整層住家/透天厝,2樓/7樓,"9,799元"
68,台中市西屯區永福路,★中科商圈★精緻套房★家具齊全,12坪,-,,,獨立套房/電梯大廈,15樓/19樓,"10,500元"
69,台中市西屯區中工三路,科技業首選✓超大間大露臺獨洗曬✓只有一間✓大大的,12坪,1,1,,獨立套房/電梯大廈,7樓/7樓,"14,999元"
70,台中市西屯區逢甲路,⭐超美採光❤️逢甲首選❤️小資看過來,11坪,1,1,,獨立套房/透天厝,3樓/5樓,"6,999元"
71,台中市西屯區中工三路,女生優先/乾淨安靜/9.9新/東海逢甲朝馬,10.5坪,1,1,,獨立套房/透天厝,2樓/4樓,"6,999元"
72,台中市西屯區慶和街,⭐限學生❤️超便宜❤️電梯❤️獨曬,8坪,1,1,,獨立套房/電梯大廈,6樓/10樓,"4,499元"
73,台中市西屯區河南路二段,ㄧ房ㄧ廳/陽台獨洗流理台/室內機車,11坪,1,1,1,獨立套房/透天厝,2樓/4樓,"10,499元"
74,台中市西屯區福中十五街,秒殺限女●全新系統●中科中榮●東海二校,9.5坪,1,1,,獨立套房/透天厝,2樓/5樓,"6,999元"
75,台中市西屯區皇城街,⭐可報稅❤️陽台獨洗❤️衛浴開窗❤️別墅,15坪,1,1,,獨立套房/電梯大廈,4樓/6樓,"11,499元"
76,台中市西屯區慶和街,⚡西屯區⚡便宜套房⚡室內機車位⚡限學生,8坪,1,1,1,獨立套房/透天厝,6樓/8樓,"4,500元"
77,台中市西屯區漢翔路,全新秒殺✅三房雙平車✅台水電梯管理員,58坪,3,2,2,整層住家/電梯大廈,3樓/15樓,"37,999元"
78,台中市西屯區福中十五街,限女性❤超新系統裝潢~乾溼衛浴/免投共洗凸窗曬,9坪,1,1,,獨立套房/透天厝,2樓/4樓,"6,999元"
79,台中市西屯區福中十五街,西屯區♡限定女生♡超新系統裝潢別錯過,10坪,1,1,,獨立套房/電梯大廈,2樓/3樓,"6,999元"
80,台中市西屯區福雅路,正一房一廳⭐可寵⭐室內機車⭐陽台獨洗⭐近中科東海,21坪,1,1,1,整層住家/電梯大廈,5樓/6樓,"14,999元"
81,台中市西屯區四川路,⭐新光遠百⭐子母車⭐獨洗窗曬⭐流理臺⭐嚴選⭐可報稅,10坪,1,1,,獨立套房/透天厝,4樓/5樓,"6,999元"
82,台中市西屯區河南路一段,⚡西屯區⚡全新整理⚡電梯套房,9坪,1,1,1,獨立套房/華廈,5樓/7樓,"7,000元"
83,台中市西屯區文華路,台水電⭐全新傢俱⭐陽台獨洗⭐雙層冰箱⭐有車位可租⭐,12.37坪,-,,,獨立套房/電梯大廈,6樓/7樓,"9,000元"
84,台中市西屯區逢甲路,大空間+唯美雙面採光⭐電梯管理員⭐陽台獨洗⭐逢甲⭐,15.12坪,-,,,整層住家/電梯大廈,11樓/12樓,"12,000元"
85,台中市西屯區河南路二段,台中交流道❤一房一廳~陽台獨洗/採光佳/生活機能優,16坪,1,1,1,獨立套房/透天厝,5樓/5樓,"10,999元"
86,台中市西屯區四川路,科博館❤系統裝潢流理台~獨洗曬/子母車,12坪,1,1,1,獨立套房/透天厝,4樓/5樓,"6,999元"
87,台中市西屯區漢翔路,豪華大三房⭐雙車位⭐優雅更衣室⭐台水台電⭐逢甲商圈,50坪,3,2,2,整層住家/電梯大廈,3樓/15樓,"37,999元"
88,台中市西屯區河南路二段,⭐汽車位可租❤️獨洗曬❤️逢甲首選,12坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"8,299元"
89,台中市西屯區逢甲巷,✨這個採光可以唷✨電梯✨陽台獨洗✨乾溼衛浴✨需季繳,10坪,1,1,,獨立套房/透天厝,5樓/5樓,"8,999元"
90,台中市西屯區國安一路,藍海高樓層溫馨家庭,25坪,2,1,1,整層住家/電梯大廈,14樓/15樓,"21,000元"
91,台中市西屯區中清路二段,中央公園❤精美大四房~24H物業管理/含平車機車位,56坪,4,2,2,整層住家/電梯大廈,15樓/20樓,"48,000元"
92,台中市西屯區漢口路二段,可貓⭐大坪數⭐獨曬⭐唯美採光⭐精緻窮⭐機車好停,10.12坪,-,,,獨立套房/透天厝,4樓/5樓,"7,000元"
93,台中市西屯區華夏巷西五弄,逢甲⭐️衛浴開窗/管理員/採光好/小資首選/可貓寵,8坪,1,1,,獨立套房/透天厝,6樓/6樓,"5,799元"
94,台中市西屯區西安街,逢甲學生最愛☀完美採光☀共洗獨曬☀衛浴開窗☀飲水機,10坪,1,1,,獨立套房/別墅,5樓/6樓,"4,800元"
95,台中市西屯區文華路正煌巷,太神啦⭐台水電⭐陽台獨洗⭐汽車位⭐機車位,10.2坪,-,,,獨立套房/電梯大廈,5樓/10樓,"8,000元"
96,台中市西屯區中清西二街,你要的我都給✨陽台獨洗流理臺✨一層兩戶✨乾溼分離,15坪,1,1,1,獨立套房/透天厝,2樓/4樓,"10,999元"
97,台中市西屯區逢甲巷,最愛逢甲☀系統櫃裝潢☀乾濕分離☀共洗獨曬☀子母車,12坪,1,1,,獨立套房/電梯大廈,5樓/7樓,"9,000元"
98,台中市西屯區順和七街,全新近中科★陽台獨洗★衛浴開窗★變頻冷氣★子母車,12坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"9,500元"
99,台中市西屯區中工三路,⚡西屯區⚡全新電梯套房⚡陽台獨洗,14坪,1,1,1,獨立套房/透天厝,7樓/8樓,"12,000元"
100,台中市西屯區文華路正煌巷,太神拉⭐台水電⭐陽台獨洗⭐汽車位⭐機車位,10.2坪,-,,,獨立套房/電梯大廈,6樓/10樓,"9,000元"
101,台中市西屯區西安街,超稀有⭐可租補⭐獨洗曬⭐機車位⭐子母車⭐,13.5坪,-,,,獨立套房/透天厝,2樓/5樓,"10,500元"
102,台中市西屯區精明一街,整棟全新⭐陽台獨洗⭐大空間⭐室內機車⭐精誠路,15.2坪,-,,,獨立套房/透天厝,3樓/5樓,"13,000元"
103,台中市西屯區大墩二十街,黃金店面✅營登✅禁重油煙✅二年約✅台水電,29坪,-,,,店面/別墅,1樓/1樓,"39,999元"
104,台中市西屯區烈美街,唯美採光⭐機車位⭐小廚房⭐逢甲⭐可租補報稅⭐搶,10.12坪,-,,,獨立套房/透天厝,2樓/3樓,"11,000元"
105,台中市西屯區逢甲巷,✨逢甲學生心動了✨陽台獨洗曬✨走路上學也可以✨,10坪,1,1,,獨立套房/透天厝,5樓/5樓,"8,999元"
106,台中市西屯區華美西街二段,給貓一個家⭐近北區捷運站⭐超大空間讓他跑⭐陽台獨曬,14.21坪,-,,,獨立套房/透天厝,4樓/5樓,"7,000元"
107,台中市西屯區福星路,⚡西屯區⚡可貓套房⚡有洗衣間,9坪,1,1,1,獨立套房/華廈,6樓/8樓,"7,500元"
108,台中市西屯區智惠街,秒殺✨電梯美房✨陽台獨洗✨子母車✨飲水機✨生活便利,10坪,-,,,獨立套房/透天厝,5樓/7樓,"7,400元"
109,台中市西屯區大有三街,秒殺✨可貓✨獨洗陽台✨飲水機✨子母車,11坪,-,,,獨立套房/透天厝,3樓/5樓,"8,000元"
110,台中市西屯區華夏巷西五弄,逢甲僑光⭐獨洗衣⭐免爬高⭐小資必租,9坪,1,1,,獨立套房/透天厝,2樓/5樓,"5,999元"
111,台中市西屯區長安路二段,逢甲⭐陽台/衛浴開窗/採光佳,7坪,1,1,,獨立套房/透天厝,3樓/4樓,"5,700元"
112,台中市西屯區華夏巷西五弄,✅秒殺近逢甲✅獨洗窗曬✅小資首選大衣櫥,11坪,-,,,獨立套房/透天厝,2樓/5樓,"5,999元"
113,台中市西屯區中平路,電梯❤陽台獨洗❤衛浴窗❤宛如冬天裡的一道暖陽❤,12坪,1,1,1,獨立套房/電梯大廈,3樓/5樓,"8,999元"
114,台中市西屯區福安二街,⭐二樓而已爬梯不喘❤️超便宜❤️衛浴開窗,9坪,1,1,,獨立套房/透天厝,2樓/5樓,"5,699元"
115,台中市西屯區河南路一段,電梯❤乾溼分離❤木質地❤秒殺❤附近小公園❤,10坪,1,1,1,獨立套房/電梯大廈,6樓/8樓,"6,499元"
116,台中市西屯區西屯路二段,可貓單套⭐免爬高⭐超低價⭐逢甲僑光,8坪,1,1,,獨立套房/透天厝,2樓/5樓,"3,599元"
117,台中市西屯區西屯路二段,⭐逢甲僑光⭐電梯⭐陽台獨洗⭐子母車⭐可租車位⭐,15坪,1,1,,獨立套房/透天厝,8樓/9樓,"11,999元"
118,台中市西屯區福安二街,⭐世貿澄清⭐飲水機子母車⭐巷弄安靜⭐超便宜小套,8坪,1,1,,獨立套房/透天厝,2樓/4樓,"5,700元"
119,台中市西屯區上石路,✨就當個美麗風箏飛吧✨我最愛這個✨靠近新光去逛街✨,9坪,1,1,,獨立套房/透天厝,3樓/4樓,"7,800元"
120,台中市西屯區福上巷,逢甲⭐電梯管理員⭐台電包水⭐子母車⭐獨洗窗曬⭐可寵,9坪,1,1,,獨立套房/華廈,4樓/7樓,"5,999元"
121,台中市西屯區福上巷,⭐逢甲首選❤️陽台獨曬❤️可短租❤️租補,11坪,1,1,,獨立套房/電梯大廈,4樓/5樓,"7,799元"
122,台中市西屯區文華路,✨小資套房✅逢甲大學旁✅共洗窗曬✅機車位可租,7坪,-,,,獨立套房/公寓,2樓/5樓,"5,000元"
123,台中市西屯區西屯路二段,獨洗獨曬❤️精美裝潢｜飲水機子母車｜近逢甲商圈,12坪,1,1,,獨立套房/透天厝,3樓/4樓,"9,499元"
124,台中市西屯區富強巷,超新電梯/系統櫃/流理台陽台獨洗/逢甲中國醫,15坪,-,,,獨立套房/透天厝,5樓/6樓,"12,999元"
125,台中市西屯區寧夏路,⚡西屯區⚡全新裝潢⚡可寵可小孩⚡獨洗曬,11坪,1,1,1,獨立套房/電梯大廈,8樓/12樓,"11,000元"
126,台中市西屯區何厝街,可狗貓陽台獨洗流理台子母車,14坪,1,1,1,獨立套房/透天厝,3樓/4樓,"10,499元"
127,台中市西屯區中清西二街,秒殺可貓超新✅類一房一廳✅陽台獨洗✅系統櫃✅,15坪,-,,,獨立套房/透天厝,3樓/5樓,"13,999元"
128,台中市西屯區寶慶街,✨超強採光✨可養貓貓✨台水台電✨乾溼衛浴✨機車位,12坪,1,1,,獨立套房/電梯大廈,3樓/12樓,"12,000元"
129,台中市西屯區櫻城二街,☞秒殺❤電梯❤陽台獨洗❤機車位❤子母車❤☜,10坪,1,1,,獨立套房/電梯大廈,3樓/6樓,"6,999元"
130,台中市西屯區西安街,衛浴不潮溼✨可貓獨洗曬✨飲水機子母車✨走路逛逢甲,9.5坪,1,1,,獨立套房/透天厝,3樓/4樓,"5,499元"
131,台中市西屯區河南路二段,✓走路上課✓室內機車位✓超新完工✓只有一間✓,10.2坪,1,1,,獨立套房/電梯大廈,2樓/5樓,"6,199元"
132,台中市西屯區天水東街,木地板✨精美大兩房✨流理台✅子母車✨電梯✨,18坪,2,1,1,獨立套房/電梯大廈,1樓/6樓,"14,800元"
133,台中市西屯區太原路一段,可家庭⭐可租補戶籍⭐全新秒殺⭐有工作都可⭐,11.24坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"7,499元"
134,台中市西屯區西屯路二段上石北二巷,【可貓一房廳】陽台獨洗、電梯管理員、現在就來別等了,15坪,1,1,1,獨立套房/電梯大廈,3樓/8樓,"12,999元"
135,台中市西屯區福安路,寶輝旁~最搶手超美三房《熊貓福華》,32.07坪,3,2,2,整層住家/電梯大廈,8樓/12樓,"24,500元"
136,台中市西屯區華夏巷西五弄,秒殺逢甲❤可貓寵❤精美套房❤機車位❤子母車 ,10坪,1,1,,獨立套房/公寓,6樓/7樓,"5,499元"
137,台中市西屯區河南路二段,類一房一廳✨陽台獨洗曬✨走路文華捷運✨樓下超商,10.23坪,1,1,,獨立套房/公寓,4樓/5樓,"6,500元"
138,台中市西屯區西屯路二段,秒殺❤獨洗曬❤學生精美套房❤平價首選❤子母車,8坪,1,1,,獨立套房/透天厝,2樓/6樓,"5,499元"
139,台中市西屯區西屯路二段,時尚新屋✨機車位✨精美電梯套房❤陽台獨洗✨子母車,11坪,1,1,,獨立套房/電梯大廈,2樓/6樓,"8,500元"
140,台中市西屯區順和一街,全新電梯◕沙發陽台獨洗◕車位可租◕東海工業區中科澄清靜宜弘光,10.5坪,-,,,獨立套房/電梯大廈,4樓/6樓,"7,800元"
141,台中市西屯區櫻城五街,秒殺逢甲❤獨洗曬陽台❤電梯精美套房❤機車位❤子母車,10坪,1,1,,獨立套房/電梯大廈,3樓/7樓,"6,499元"
142,台中市西屯區龍門一街,❤️七期1年屋❤️陽台獨洗大衣櫃乾溼分離流理台,15坪,1,1,1,獨立套房/電梯大廈,2樓/6樓,"12,999元"
143,台中市西屯區福聯街,近榮總東海⭐大坪數⭐可寵貓⭐室內機車位,17坪,2,1,1,獨立套房/透天厝,4樓/6樓,"12,500元"
144,台中市西屯區天水東街,逢甲❤稀有兩房❤獨洗曬❤絕佳地點❤合租首選,20坪,2,1,1,獨立套房/電梯大廈,3樓/6樓,"14,999元"
145,台中市西屯區河南路二段,電梯對外窗獨洗曬可租車位2000/月近逢甲,14坪,1,1,,獨立套房/電梯大廈,6樓/10樓,"8,299元"
146,台中市西屯區櫻城五街,超強秒殺、電梯美屋、陽台獨洗曬、採光佳、小資快搶,8坪,1,1,1,獨立套房/電梯大廈,6樓/6樓,"6,999元"
147,台中市西屯區福安七街,✌秒殺近澄清超新一樓✌獨洗烘✌小資首選,10坪,-,,,獨立套房/透天厝,1樓/4樓,"5,499元"
148,台中市西屯區福瑞街,近東海中科◡小資首選◡台水電◡陽台獨洗◡管理員,12坪,1,1,,獨立套房/電梯大廈,7樓/15樓,"6,000元"
149,台中市西屯區寶慶街,超新~可貓❤台水台電❤共洗曬❤流理臺❤管理員,12坪,1,1,1,獨立套房/電梯大廈,3樓/7樓,"10,999元"
150,台中市西屯區漢成六街,捷運站✅文華高中✅三信公園✅小資族首選✅學生專區✅,10坪,-,,,獨立套房/電梯大廈,1樓/6樓,"6,500元"
151,台中市西屯區青海路二段,⚡西屯區⚡電梯管理員2+1房⚡可寵物⚡家具全配,30坪,2,1,1,整層住家/電梯大廈,7樓/15樓,"18,500元"
152,台中市西屯區櫻城二街,可貓咪✅台水台電✅陽台獨洗✅管理員✅子母車,10坪,1,1,,獨立套房/電梯大廈,5樓/7樓,"5,999元"
153,台中市西屯區華廈巷西五弄,逢甲⭐️獨洗/子母車/陽台/沙發/飲水機,12坪,1,1,1,獨立套房/公寓,6樓/7樓,"8,799元"
154,台中市西屯區河南路一段,可貓可小孩✔近逢甲✔採光佳✔飲水機✔子母車✔共洗曬,14坪,1,1,,獨立套房/電梯大廈,5樓/8樓,"8,500元"
155,台中市西屯區福雅路,❤新❤可寵物❤陽台獨洗烘❤流理台❤機車位❤子母車❤,15坪,1,,1,獨立套房/電梯大廈,5樓/6樓,"15,499元"
156,台中市西屯區福上巷,♕電梯♕陽台♕衛浴窗♕可短租♕可補助♕機車位,10坪,1,1,1,獨立套房/透天厝,2樓/5樓,"7,799元"
