,住址,物件說明,面積,房,衛,廳,物件類型,樓層,租金
157,台中市西屯區大有二街,獨洗曬⭐免爬高⭐高CP⭐限女超安心⭐市政府站,10.66坪,-,,,獨立套房/透天厝,2樓/4樓,"6,000元"
158,台中市西屯區西屯路二段,✌秒殺近逢甲採光好✌可凸窗曬✌小資首選,12坪,-,,,獨立套房/透天厝,2樓/5樓,"6,999元"
159,台中市西屯區四川路,不要錯過我●獨洗曬●流理臺●近新光遠百長榮桂冠,10.36坪,1,1,,獨立套房/透天厝,4樓/5樓,"6,999元"
160,台中市西屯區福安七街,✨超好質感✨洗脫烘一次到位✨還等什麼,11.5坪,1,1,,獨立套房/透天厝,2樓/5樓,"7,999元"
161,台中市西屯區寶慶街,超級大空間✨絕美採光✨系統裝潢✨電梯管理員✨可貓,17坪,1,1,,獨立套房/電梯大廈,3樓/12樓,"12,000元"
162,台中市西屯區西屯路二段,沙發❤時尚新屋❤精美電梯套房❤陽台獨洗❤機車位❤,14坪,1,1,,獨立套房/電梯大廈,1樓/6樓,"11,000元"
163,台中市西屯區櫻城二街,西屯區⚡櫻花捷運站旁⚡台水電可貓⚡陽台獨洗,10坪,1,1,1,獨立套房/電梯大廈,5樓/12樓,"6,000元"
164,台中市西屯區河南路二段,逢甲✔超大空間✔獨洗曬✔泡澡浴缸✔飲水機,16坪,1,1,1,獨立套房/別墅,3樓/5樓,"11,000元"
165,台中市西屯區至善路,逢甲採光佳◁電梯管理員◁木質地◁可租機車位◁共洗曬,13坪,1,1,,獨立套房/電梯大廈,9樓/15樓,"8,000元"
166,台中市西屯區天水東街,電梯兩房◕沙發流理台◕獨洗曬◕逢甲文心捷運文華高中,20坪,2,1,1,獨立套房/華廈,6樓/7樓,"14,999元"
167,台中市西屯區西安南巷,秒殺✨陽台獨洗✅垃圾子母車✅飲水機✅三年新屋,11坪,-,,,獨立套房/透天厝,4樓/6樓,"8,000元"
168,台中市西屯區漢口路一段,小資最愛⭐爬梯2樓⭐獨洗曬⭐衛浴開窗⭐限女性,10.1坪,1,1,,獨立套房/透天厝,2樓/4樓,"5,599元"
169,台中市西屯區中清西二街,近水湳中國醫✨有電梯衛浴開窗✨陽台獨洗秒殺,12坪,1,1,,獨立套房/電梯大廈,3樓/7樓,"8,499元"
170,台中市西屯區大弘街,✌️秒殺可寵爬樓✌️陽台獨洗✌️小資首選,12坪,-,,,獨立套房/公寓,5樓/6樓,"6,999元"
171,台中市西屯區烈美街,超秒殺~近逢甲❤超大空間❤有電梯❤先搶先贏,12坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"7,499元"
172,台中市西屯區櫻花路,✓超新完工✓陽台獨洗+系統櫃✓採光讚✓只有一間✓,11坪,1,1,,獨立套房/電梯大廈,2樓~4樓/6樓,"9,499元"
173,台中市西屯區至善路,逢甲僑光⭐免爬高⭐G車位⭐超低價,8.5坪,1,1,,獨立套房/公寓,2樓/5樓,"4,500元"
174,台中市西屯區西屯路二段湳子巷,可寵物❤台水台電計費❤大套房❤陽台獨洗,10坪,1,1,,獨立套房/公寓,4樓/6樓,"6,000元"
175,台中市西屯區福上巷,全新大間陽台獨洗沙發流理台子母車,15坪,1,1,1,獨立套房/透天厝,3樓/4樓,"10,999元"
176,台中市西屯區寶慶街,新光逢甲⭐24H管理⭐電梯⭐可貓咪,9坪,1,1,,獨立套房/電梯大廈,5樓/7樓,"5,499元"
177,台中市西屯區天水東街,新光逢甲⭐電梯免爬⭐小資價⭐只一間,8.5坪,1,1,,獨立套房/透天厝,4樓/5樓,"5,599元"
178,台中市西屯區長安路二段,✨正一房一廳✨超強採光✨全新可寵✨陽台獨洗✨流理臺,13坪,1,1,1,獨立套房/公寓,4樓/6樓,"11,499元"
179,台中市西屯區福林路,住宅區⭐東海⭐衛浴開窗⭐電梯⭐超讚採光衛浴開窗,10.93坪,-,,,獨立套房/電梯大廈,2樓/3樓,"11,000元"
180,台中市西屯區中工三路,❤一年新屋❤電梯✅陽台獨洗❤機車位❤美裝潢,11坪,1,1,,整層住家/電梯大廈,2樓/7樓,"8,500元"
181,台中市西屯區逢甲路,逢甲✔飯店式管理❤台水台電✔可補助,9坪,1,1,,獨立套房/電梯大廈,5樓/7樓,"8,799元"
182,台中市西屯區福上巷,可貓咪⭐免爬高⭐超低價⭐逢甲商圈,8.2坪,1,1,,獨立套房/透天厝,3樓/5樓,"3,999元"
183,台中市西屯區長安路一段,再愛一次★台水台電★陽台獨洗★流理臺★電梯管理員,11.23坪,1,1,,獨立套房/電梯大廈,4樓/12樓,"8,999元"
184,台中市西屯區安和路,全新別錯過♡限定女生很單純♡免追垃圾車♡︎凸窗曬,10坪,1,1,,獨立套房/電梯大廈,3樓/6樓,"7,499元"
185,台中市西屯區惠中路,新光市政逢甲⭐全新出租⭐獨洗曬⭐搶,9坪,1,1,,獨立套房/透天厝,3樓/5樓,"5,999元"
186,台中市西屯區中工三路,秒殺剩一間✨三年新屋✅陽台獨洗✅垃圾子母車✅飲水機,11坪,-,,,獨立套房/透天厝,2樓/7樓,"8,500元"
187,台中市西屯區逢甲路,走路到逢甲★投幣共洗★機能方便★子母車★全新裝潢,12坪,1,1,1,獨立套房/透天厝,3樓/8樓,"5,799元"
188,台中市西屯區寶慶街,電梯管理員+木質地+舒適空間+小資秒殺+可貓,8坪,1,1,1,獨立套房/電梯大廈,5樓/8樓,"5,499元"
189,台中市西屯區惠中路,✌秒殺近新光可貓✌獨洗窗曬✌全新整理,12坪,-,,,獨立套房/透天厝,3樓/5樓,"7,799元"
190,台中市西屯區寧夏西四街,可租補助♡獨洗曬流理台最方便♡有電梯免追垃圾車,11坪,1,1,1,獨立套房/電梯大廈,5樓/12樓,"9,000元"
191,台中市西屯區福安七街,單身貴族✨洗脫烘✨子母車飲水機✨近台積電,7坪,1,1,,獨立套房/透天厝,1樓/4樓,"5,500元"
192,台中市西屯區工業區一路,給澄清醫院東海⭐台水電⭐機車位獨洗曬,12坪,-,,,獨立套房/電梯大廈,2樓/6樓,"7,500元"
193,台中市西屯區甘肅路一段,甘肅路一段✨子母車陽台獨洗✨衛浴開窗飲水機,12坪,1,1,,獨立套房/透天厝,4樓/5樓,"8,499元"
194,台中市西屯區逢甲路,逢甲商圈⭐學生首選⭐機能方便⭐大面窗採光⭐衛浴開窗,12坪,1,1,1,獨立套房/透天厝,3樓/5樓,"5,999元"
195,台中市西屯區福上巷龍欣三弄,✨電梯上樓✨衛浴乾溼分離✨凸窗曬衣✨小資秒殺,9坪,1,1,,獨立套房/透天厝,4樓/6樓,"6,199元"
196,台中市西屯區國安一路,★新杜拜次頂樓2房★家具家電齊全,20.32坪,2,1,2,整層住家/電梯大廈,23樓/24樓,"20,000元"
197,台中市西屯區西安街,✨秒殺✨可養貓✨子母車✨飲水機✨生活便利,13坪,-,,,獨立套房/透天厝,1樓/4樓,"8,500元"
198,台中市西屯區西屯路二段上石北二巷,❤近逢甲❤可貓❤陽台獨洗❤工業風格❤子母車❤,15坪,1,1,1,獨立套房/電梯大廈,3樓/7樓,"12,999元"
199,台中市西屯區崇義街,逢甲小資首選✔可寵✔機能佳✔飲水機子母車✔共洗烘,12坪,1,1,,獨立套房/透天厝,4樓/6樓,"5,500元"
200,台中市西屯區福上巷,台水電◕陽台獨洗◕木質地◕機車位◕逢甲僑光河南,8.5坪,-,,,獨立套房/公寓,3樓/5樓,"6,300元"
201,台中市西屯區福上巷,秒殺可寵爬樓樓✅獨洗窗曬✅精美裝潢✅,12坪,-,,,獨立套房/公寓,4樓/6樓,"7,999元"
202,台中市西屯區環中路三段,✌秒殺電梯管理員✌陽台獨洗✌流理臺,12坪,-,,,獨立套房/透天厝,2樓/7樓,"11,999元"
203,台中市西屯區櫻城五街,逢甲靜巷◕秒殺電梯◕獨洗陽台◕機車位,9坪,-,,,獨立套房/透天厝,3樓/7樓,"6,999元"
204,台中市西屯區長安路二段,✌️秒殺管理員近水湳逢甲✌️獨洗曬✌️大坪數,12坪,-,,,獨立套房/公寓,2樓/6樓,"7,999元"
205,台中市西屯區漢口路一段,超大空間✅浴缸泡澡✅勤美✅科博館✅陽台獨洗✅流理台,16坪,-,,,獨立套房/電梯大廈,4樓/6樓,"9,499元"
206,台中市西屯區逢甲路,⭐逢甲僑光⭐飲水機子母車⭐超好採光⭐衛浴開窗⭐,9坪,1,1,,獨立套房/透天厝,3樓/5樓,"5,999元"
207,台中市西屯區華夏巷西五弄,小資首選✨陽台獨洗✨木質地板✨管理員✨機車位可租,14坪,1,1,,獨立套房/透天厝,1樓/5樓,"5,999元"
208,台中市西屯區中平路,✌️秒殺9成新電梯近水湳✌️陽台獨洗✌️衛浴開窗,12坪,-,,,獨立套房/別墅,3樓/5樓,"8,499元"
209,台中市西屯區長安路二段,✨小資首選✨獨洗✨飲水機✨子母車✨流理台,10坪,-,,,獨立套房/透天厝,2樓/7樓,"7,000元"
210,台中市西屯區龍門一街,近老虎城⭐溫馨小窩⭐乾溼分離⭐流理臺⭐陽台獨洗,18坪,1,1,1,獨立套房/電梯大廈,5樓/6樓,"12,999元"
211,台中市西屯區逢甲路,✌秒殺近逢甲超大坪數✌戶數少✌小資首選,12坪,-,,,獨立套房/透天厝,2樓/5樓,"5,999元"
212,台中市西屯區西屯路二段,❤️何厝商圈❤️陽台獨洗❤️採光明亮大空間機車位,12坪,1,1,1,獨立套房/電梯大廈,5樓~7樓/7樓,"11,999元"
213,台中市西屯區國安二路,全新社區~近中科~多間可選~可報稅~租補,18坪,2,2,2,整層住家/電梯大廈,5樓/15樓,"27,000元"
214,台中市西屯區重慶路,免管理費❤電梯套房✨精美新屋❤小資首選✨,8坪,1,1,,獨立套房/電梯大廈,1樓/7樓,"6,000元"
215,台中市西屯區文心路二段,七期旁文心路三房,40坪,3,2,2,整層住家/電梯大廈,12樓/23樓,"23,000元"
216,台中市西屯區華夏巷西五弄,可貓咪⭐時尚裝潢⭐管理員⭐逢甲僑光,9坪,1,1,,獨立套房/公寓,6樓/6樓,"5,799元"
217,台中市西屯區西屯路三段,中科榮總❤️陽台獨洗雙層冰箱❤️衛浴開窗視野佳D,10坪,1,1,,獨立套房/電梯大廈,5樓/7樓,"11,500元"
218,台中市西屯區河南路二段,✌秒殺爬樓超大坪數✌陽台獨洗✌類一房一廳,13坪,-,,,獨立套房/公寓,4樓/6樓,"6,499元"
219,台中市西屯區順和一街,【秒殺正廣】@電梯@陽台獨洗@近東海澄清~,8坪,-,,,獨立套房/透天厝,3樓/6樓,"7,999元"
220,台中市西屯區西屯路二段,✌️秒殺全新電梯✌️陽台獨洗✌️系統櫃裝潢,13坪,-,,,獨立套房/別墅,2樓/5樓,"11,999元"
221,台中市西屯區漢成六街,小資首選✅文華✅水湳中國醫✅捷運站✅室內機車位,8.2坪,-,,,獨立套房/電梯大廈,3樓/6樓,"6,500元"
222,台中市西屯區福中三街,三年新屋✨陽台獨洗✅垃圾子母車✅環境安靜✅飲水機,14坪,-,,,獨立套房/透天厝,5樓/5樓,"10,500元"
223,台中市西屯區福星路,可貓寵✨走路到逢甲大學✨投幣共洗烘 ✨全新電梯,13坪,1,1,1,獨立套房/電梯大廈,3樓/8樓,"7,999元"
224,台中市西屯區福上巷,秒殺逢甲❤獨洗曬陽台❤精美套房❤機車位❤子母車,10坪,1,1,,獨立套房/公寓,5樓/6樓,"6,499元"
225,台中市西屯區河南路一段,大坪數◕台水電◕可報稅戶籍◕電梯管理◕文心水湳逢甲,18坪,1,1,1,整層住家/電梯大廈,7樓/9樓,"13,999元"
226,台中市西屯區福聯街,✌秒殺超大間可貓✌陽台獨洗✌9成新電梯✌,15坪,1,1,1,獨立套房/別墅,3樓/6樓,"12,499元"
227,台中市西屯區崇義街,可寵可短租⭐走路逢甲⭐洗衣免投⭐超低價,8.5坪,1,1,,獨立套房/透天厝,3樓/5樓,"4,500元"
228,台中市西屯區河南東二街,可貓咪⭐採光100⭐短租可談⭐小資價,8.5坪,1,1,,獨立套房/華廈,7樓/7樓,"5,299元"
229,台中市西屯區順和七街,50歲以上不要⭐陽台獨洗⭐子母車⭐飲水機,9.5坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"9,500元"
230,台中市西屯區西屯路二段,❤逢甲❤獨洗獨曬❤管理員❤浴室乾溼分離❤子母車❤,10坪,1,1,,獨立套房/電梯大廈,2樓/7樓,"5,999元"
231,台中市西屯區西屯路二段湳子巷,秒殺逢甲❤獨洗曬❤精美套房❤流理台❤子母車,12坪,1,1,,獨立套房/公寓,3樓/7樓,"6,499元"
232,台中市西屯區順和一街,質感全新百萬裝潢機車位陽台流理台,15坪,1,1,1,獨立套房/電梯大廈,3樓/5樓,"13,999元"
233,台中市西屯區青海路二段,台水電好省✨魔術大空間✨電梯管理員✨獨洗陽台子母車,15坪,1,1,1,獨立套房/電梯大廈,14樓/20樓,"11,999元"
234,台中市西屯區烈美街,超秒殺~近逢甲❤安靜舒適❤機車位~先搶先贏,12坪,1,1,,獨立套房/電梯大廈,1樓/6樓,"7,499元"
235,台中市西屯區四川路,✌秒殺近逢甲爬樓✌獨洗窗曬✌流理臺,12坪,-,,,獨立套房/透天厝,5樓/5樓,"6,999元"
236,台中市西屯區漢口路一段,全新多間可選/系統裝潢/陽台獨洗/機車位,12坪,1,1,,獨立套房/電梯大廈,2樓~7樓/7樓,"9,499元"
237,台中市西屯區福星路,電梯不累◕小資首選◕陽台獨曬◕逢甲中科遠百,8.5坪,-,,,獨立套房/華廈,3樓/7樓,"6,499元"
238,台中市西屯區龍門一街,秒殺超新電梯✅陽台獨洗✅流理台✅乾溼分離,15坪,-,,,獨立套房/透天厝,4樓/6樓,"12,999元"
239,台中市西屯區福星路,✌秒殺近逢甲小資優選✌有陽台✌空間大✌多間可選,10坪,-,,,獨立套房/華廈,4樓/8樓,"6,499元"
240,台中市西屯區福安七街,秒殺✨三年電梯新屋✅陽台獨洗✅垃圾子母車✅飲水機,12坪,-,,,獨立套房/透天厝,3樓/7樓,"9,500元"
241,台中市西屯區西屯路二段,陽台獨洗✨子母車✨乾濕分離✨飲水機✨生活機能佳,12坪,-,,,獨立套房/透天厝,5樓/5樓,"10,500元"
242,台中市西屯區華夏巷西五弄,❤️逢甲僑光❤️大空間美裝潢❤️子母車管理員❤️,12坪,1,1,1,獨立套房/公寓,6樓/6樓,"8,788元"
243,台中市西屯區精明路,全新⭐第一手家具⭐陽台獨洗⭐小廚房⭐5星體驗⭐搶,10.12坪,-,,,獨立套房/透天厝,3樓/5樓,"13,000元"
244,台中市西屯區河南路二段,心型圈●獨洗窗曬●近青海家樂●汽車車位可租●微秒,11.34坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"8,300元"
245,台中市西屯區台灣大道三段,順天環匯酒店❤️｜頂樓無邊際泳池｜四星級等級,26坪,1,1,1,獨立套房/電梯大廈,13樓/21樓,"37,799元"
246,台中市西屯區慶和街,逢甲ღ共洗凸窗曬ღ小資首選ღ機車位ღ子母車ღ,10坪,1,1,1,獨立套房/電梯大廈,5樓/7樓,"4,499元"
247,台中市西屯區福雅路,電梯可寵◕正一房一廳◕流理台陽台獨洗◕東海中科澄清,18坪,1,1,1,獨立套房/透天厝,4樓/6樓,"14,999元"
248,台中市西屯區順和八街,⭐東海⭐工業區⭐陽台獨洗曬⭐子母車⭐室內機車位⭐,12坪,1,1,,獨立套房/透天厝,6樓/7樓,"9,600元"
249,台中市西屯區西安街,黃金店面✅1+B1✅營登✅輕食✅門前停車,32坪,-,,,店面/別墅,B1~1樓/1樓,"14,999元"
250,台中市西屯區福上巷,逢甲大學✅台水台電✅管理員✅陽台獨洗✅子母車,10坪,1,1,1,獨立套房/電梯大廈,3樓/7樓,"6,299元"
251,台中市西屯區福星路,半年約獨曬/學生首選啦/逢甲下樓就到,8坪,1,1,,獨立套房/透天厝,3樓/3樓,"4,999元"
252,台中市西屯區中平路, ❤水湳經貿❤超新❤陽台獨洗❤系統裝潢❤子母車❤,12坪,1,1,,獨立套房/電梯大廈,5樓/6樓,"10,499元"
253,台中市西屯區中平路,✨整棟新蓋✨陽台獨洗曬✨落地採光✨電梯套房✨機車位,13坪,1,1,,獨立套房/電梯大廈,3樓/5樓,"8,499元"
254,台中市西屯區環中路三段,✨可貓❤近74秋紅谷❤獨洗陽台❤衛浴開窗❤管理員✨,15坪,1,1,,獨立套房/電梯大廈,3樓/7樓,"11,499元"
255,台中市西屯區至善路,✨超級大間✨電梯管理員✨雙陽台獨洗✨衛浴開窗✨等你,15坪,1,1,,獨立套房/電梯大廈,11樓/15樓,"11,999元"
256,台中市西屯區台灣大道三段,朝馬SPA✔健身房可寵兩房可休旅,25.89坪,2,1,2,整層住家/電梯大廈,4樓/24樓,"25,999元"
257,台中市西屯區文華路,可短租可貓寵⭐️逢甲僑光⭐免投共洗省起來⭐機能方便,11坪,1,1,1,獨立套房/公寓,3樓/5樓,"5,499元"
258,台中市西屯區寧夏路,限時優惠⭐超大空間⭐採光超好⭐流理台⭐免爬樓⭐秒殺,12.26坪,-,,,整層住家/電梯大廈,7樓/8樓,"6,500元"
259,台中市西屯區福星路,走路到逢甲大學✨投幣共洗烘✨木質地板 ✨全新電梯,13坪,1,1,1,獨立套房/電梯大廈,3樓/8樓,"6,999元"
260,台中市西屯區福上巷龍欣三弄,逢甲水湳◕超新電梯◕凸窗獨曬◕乾濕分離,8.5坪,-,,,獨立套房/透天厝,5樓/7樓,"6,200元"
261,台中市西屯區河南路二段,❤水湳經貿❤陽台獨洗❤大空間❤採光通風佳❤,10坪,1,1,1,獨立套房/別墅,4樓/6樓,"6,499元"
262,台中市西屯區福上巷龍欣二弄,獨洗陽台流理台◕乾濕分離◕中科逢甲水湳中國醫,15坪,1,1,1,獨立套房/透天厝,3樓/4樓,"9,999元"
263,台中市西屯區西屯路二段,逢甲✔免費共洗✔陽台獨曬✔可貓咪✔小資首選✔,10坪,1,1,,獨立套房/公寓,4樓/5樓,"4,799元"
264,台中市西屯區華夏巷西五弄,❤近逢甲❤採光佳❤小資首選❤衛浴乾濕分離❤子母車❤,10坪,1,1,,獨立套房/透天厝,1樓/5樓,"6,499元"
265,台中市西屯區福安七街,東海澄清★稀有獨洗烘★下雨免煩惱★機能方便,13坪,1,1,1,獨立套房/透天厝,4樓/4樓,"7,999元"
266,台中市西屯區福科路,全新電梯◕獨洗陽台◕東海澄清中科工業區,16.58坪,-,,,獨立套房/別墅,4樓/6樓,"12,500元"
267,台中市西屯區市政路,24H電梯管理◕流理台微波爐◕市政逢甲朝馬遠百,14.15坪,-,,,獨立套房/電梯大廈,3樓/7樓,"11,999元"
268,台中市西屯區逢甲巷,✌️秒殺近逢甲超新電梯✌️陽台獨洗✌️乾濕分離,10坪,-,,,獨立套房/透天厝,3樓/5樓,"8,999元"
269,台中市西屯區合江街,秒殺✨子母車✨獨立洗衣機✨浴室乾濕分離,12坪,-,,,獨立套房/透天厝,3樓/4樓,"9,500元"
270,台中市西屯區西屯路三段,雙面採光✅有電梯陽台獨洗✅系統裝潢✅室內機車位,14坪,1,1,,獨立套房/電梯大廈,7樓/7樓,"12,999元"
271,台中市西屯區西屯路三段,超棒採光★室內機車★陽台獨洗★近東海,19坪,1,1,1,獨立套房/電梯大廈,6樓/7樓,"12,499元"
272,台中市西屯區華夏巷西五弄,秒殺逢甲❤獨洗曬陽台❤精美套房❤子母車❤可貓短租,10坪,1,1,,獨立套房/公寓,6樓/7樓,"6,499元"
273,台中市西屯區烈美街,可貓◕獨洗陽台◕逢甲中科朝馬,8.5坪,-,,,獨立套房/公寓,4樓/5樓,"6,200元"
274,台中市西屯區文華路,可短租+可寵秒殺+陽台+衛浴窗+子母車+大空間,9坪,1,1,1,獨立套房/透天厝,3樓~5樓/5樓,"3,699元"
275,台中市西屯區福雅路,⭐近中科⭐電梯⭐一房一廳⭐陽台獨洗⭐流理台⭐子母車,16坪,1,1,1,獨立套房/透天厝,5樓/5樓,"14,999元"
276,台中市西屯區漢口路二段,❤精美套房❤獨洗獨曬❤採光佳❤子母車.飲水機,8坪,1,1,,獨立套房/透天厝,3樓/3樓,"6,500元"
277,台中市西屯區福上巷龍欣三弄,超新電梯◕乾濕分離◕沙發陽台◕逢甲中科中國醫,15坪,-,,,獨立套房/透天厝,7樓/7樓,"8,499元"
278,台中市西屯區甘肅路一段,全新可貓一房一廳快搶✅陽台獨洗✅流理台✅,20坪,1,1,1,獨立套房/公寓,3樓/5樓,"16,499元"
279,台中市西屯區西安街,近逢甲★採光佳★可貓寵★24管理室,12坪,-,,,獨立套房/透天厝,2樓/6樓,"8,400元"
280,台中市西屯區四川路,小資女孩必看⭐近西區⭐衛浴開窗⭐獨洗曬⭐免管理費⭐,10.24坪,-,,,獨立套房/透天厝,2樓/4樓,"6,600元"
281,台中市西屯區順和三街,秒殺電梯有陽台獨洗子母車短租可談,12坪,1,1,,獨立套房/電梯大廈,3樓/7樓,"6,999元"
282,台中市西屯區櫻城三街,台水電管理員可貓狗⭐陽台獨洗⭐子母車,9.5坪,1,1,1,獨立套房/電梯大廈,3樓/7樓,"10,400元"
283,台中市西屯區青海路二段,可短租✓ㄧ房一廳✓陽台獨洗✓大空間✓,16坪,1,1,1,獨立套房/透天厝,5樓/5樓,"10,999元"
284,台中市西屯區龍門一街,全新電梯/系統櫃流理台/乾濕分離陽台獨洗/朝馬74,16坪,-,,,獨立套房/透天厝,4樓/5樓,"12,999元"
285,台中市西屯區光明路,秒殺近逢甲✌陽台獨洗✌機車位✌子母車,12坪,-,,,獨立套房/透天厝,1樓/5樓,"5,999元"
286,台中市西屯區西屯路二段,近新光遠百市政府⭐一年新屋⭐室內機車位,12坪,-,,,獨立套房/透天厝,3樓/6樓,"11,999元"
287,台中市西屯區福上巷龍欣二弄,✌️秒殺近逢甲類一房一廳✌️陽台獨洗✌️流理台,12坪,-,,,獨立套房/透天厝,2樓/5樓,"10,499元"
288,台中市西屯區國安一路,全新秒殺✅2+1房汽車位✅台水電梯管理員✅家具另談,43坪,3,1,2,整層住家/電梯大廈,7樓/15樓,"24,999元"
289,台中市西屯區西屯路二段,西屯路二段/飲水機/子母車/走路逢甲商圈/近東海,7坪,1,1,,獨立套房/透天厝,1樓/4樓,"4,500元"
290,台中市西屯區長安路二段,✨秒殺✨全新裝潢✨一房一廳✨可寵✨流理台✨陽台獨洗,18坪,1,1,1,整層住家/透天厝,4樓/5樓,"11,499元"
291,台中市西屯區華夏巷東四弄,最幸福的事●陽台獨洗可貓●近逢甲●已換雙門冰箱●,10.34坪,1,1,,獨立套房/公寓,3樓/6樓,"6,199元"
292,台中市西屯區漢口路一段,一房一廳⭐超大空間⭐雙面採光⭐衛浴開窗⭐漢口國中⭐,15.26坪,1,1,1,整層住家/公寓,6樓/6樓,"9,000元"
293,台中市西屯區重慶路,✌秒殺超便宜免爬高✌共用洗衣機✌小資首選,10坪,-,,,獨立套房/透天厝,2樓/5樓,"3,999元"
294,台中市西屯區西屯路二段,✌️秒殺近逢甲管理員✌️獨洗✌️乾濕分離,9坪,-,,,獨立套房/華廈,3樓/8樓,"5,999元"
295,台中市西屯區何厝街,⚡西屯區⚡秒殺電梯套房⚡獨洗曬⚡全新家具,10坪,1,1,1,獨立套房/透天厝,4樓/6樓,"7,800元"
296,台中市西屯區成都路,可租補✨子母車✨電梯美房✨飲水機,12坪,-,,,獨立套房/透天厝,2樓/10樓,"11,000元"
297,台中市西屯區漢口路二段,❧木地板採光宅～全配備❧市政博館❧一眼瞬間,9.13坪,1,1,,獨立套房/透天厝,3樓/4樓,"6,499元"
298,台中市西屯區逢甲路,❤近逢甲❤大空間❤乾溼分離❤小資首選❤子母車❤,10坪,1,1,,獨立套房/透天厝,3樓/6樓,"5,999元"
299,台中市西屯區西屯路二段,✨學生小資套房❤走路逢甲❤子母車✨,8坪,1,1,,獨立套房/公寓,6樓/7樓,"4,099元"
300,台中市西屯區福星路,全新裝潢/衛浴窗/大空間/逢甲僑光,10坪,-,,,獨立套房/電梯大廈,7樓/7樓,"6,999元"
301,台中市西屯區何厝街,❤遠百新光❤可寵物❤陽台獨洗❤流理臺❤子母車❤,12坪,1,1,1,獨立套房/別墅,4樓/6樓,"10,499元"
302,台中市西屯區漢成六街,秒殺❤可租屋補助❤電梯精美套房❤可家庭❤子母車❤,8坪,1,1,,獨立套房/電梯大廈,3樓/7樓,"5,999元"
303,台中市西屯區中工三路,三年新屋美房✨陽台獨洗✨飲水機✨子母車✨生活便利,11坪,-,,,獨立套房/透天厝,2樓/7樓,"8,500元"
304,台中市西屯區福上巷,出外人的好朋友❤️逢甲僑光❤️共洗曬❤️小資價,6坪,1,1,,獨立套房/透天厝,3樓/3樓,"3,999元"
305,台中市西屯區西屯路二段,台水電✅可貓咪✅管理員✅逢甲橋光✅新光遠百✅高採光,12.6坪,-,,,獨立套房/電梯大廈,5樓/9樓,"9,999元"
306,台中市西屯區福雅路,❤️可寵❤️正一房一廳❤️陽台流理臺子母車機車位,15坪,1,1,1,獨立套房/電梯大廈,4樓/6樓,"15,499元"
307,台中市西屯區文華路,❤️逢甲僑光❤️電梯套房❤️可貓貓❤️可短租,8坪,1,1,,獨立套房/電梯大廈,5樓/7樓,"5,299元"
308,台中市西屯區文華路,秒殺進逢甲可貓✅可凸窗曬✅木質地✅浴缸,12坪,-,,,獨立套房/華廈,4樓/8樓,"5,299元"
309,台中市西屯區環中路三段,國道旁✨高檔社區✨管理員✨可貓✨陽台獨洗✨乾溼衛浴,13坪,1,1,,獨立套房/電梯大廈,3樓/8樓,"11,499元"
310,台中市西屯區長安路二段,大坪數◕管理員◕沙發獨洗曬◕室內機車位◕水湳中國醫,12坪,-,,,獨立套房/公寓,2樓/5樓,"7,999元"
311,台中市西屯區西屯路二段,陽台獨洗◕落地採光◕逢甲SOGO新光遠百市政,10坪,-,,,獨立套房/透天厝,5樓/6樓,"6,499元"
312,台中市西屯區西屯路二段,全新電梯❤️系統裝潢❤️陽台獨洗❤️逢甲捷運,15坪,-,,,獨立套房/透天厝,3樓/6樓,"11,999元"
313,台中市西屯區西安街,✌秒殺近逢甲超便宜多間可選✌可凸窗曬✌小資首選,11坪,-,,,獨立套房/透天厝,2樓/5樓,"5,699元"
314,台中市西屯區大信街,✌秒殺爬樓精美裝潢✌陽台獨洗✌流理臺,13坪,-,,,獨立套房/公寓,5樓/6樓,"8,999元"
