,住址,物件說明,面積,房,衛,廳,物件類型,樓層,租金
315,台中市西屯區中清路二段,近橋光、中國醫水湳⭐獨洗曬⭐大空間⭐,13坪,-,,,獨立套房/電梯大廈,3樓/7樓,"11,500元"
316,台中市西屯區西屯路二段,近逢甲僑光⭐系統櫃⭐機車位⭐陽台獨洗,12坪,-,,,獨立套房/透天厝,4樓/6樓,"12,999元"
317,台中市西屯區西屯路二段,全新電梯⭐超讚採光⭐機車位⭐陽台獨洗⭐文心櫻花站,18坪,1,1,1,獨立套房/電梯大廈,3樓/6樓,"11,999元"
318,台中市西屯區青海路二段,新光大遠百✅逢甲僑光✅管理員✅超強採光✅機車位✅,9坪,-,,,獨立套房/電梯大廈,7樓/8樓,"6,199元"
319,台中市西屯區西安街,逢甲僑光⭐採光佳⭐須爬梯⭐超低價,8坪,1,1,,獨立套房/公寓,5樓/6樓,"4,799元"
320,台中市西屯區西安街,秒殺近逢甲閃亮登場✅採光陽台✅小資首選✅,10坪,-,,,獨立套房/公寓,5樓/6樓,"4,500元"
321,台中市西屯區中工三路,⭐超質感❤️陽台獨洗❤️衛浴開窗❤️子母車,13坪,1,1,,獨立套房/電梯大廈,5樓/6樓,"10,999元"
322,台中市西屯區文華路, ❤短租半年❤逢甲橋光❤共洗獨曬❤採光佳❤子母車❤,10坪,1,1,,獨立套房/別墅,3樓/5樓,"5,199元"
323,台中市西屯區福安七街,東海澄清★稀有獨洗烘★下雨免煩惱★機能好,13坪,1,1,1,獨立套房/透天厝,4樓/4樓,"7,999元"
324,台中市西屯區河南路,逢甲中國醫⭐獨洗曬⭐衛浴窗⭐小資價,9坪,1,1,,獨立套房/公寓,5樓/6樓,"6,499元"
325,台中市西屯區逢甲路,【秒殺正廣】全新未住@多間可選@獨洗曬@走路去逢甲,10坪,-,,,獨立套房/透天厝,2樓/4樓,"8,999元"
326,台中市西屯區河南路一段,可貓咪⭐大空間⭐乾溼分離⭐小資必租,10坪,1,1,,獨立套房/透天厝,6樓/7樓,"6,499元"
327,台中市西屯區西屯路二段,超級大坪數⚡類一房一廳⚡陽台獨洗⚡絕美採光,18坪,1,1,,獨立套房/透天厝,3樓/5樓,"11,999元"
328,台中市西屯區逢甲路,【秒殺正廣】@超精華地帶@沙發@走路去逢甲~~~,10坪,-,,,獨立套房/透天厝,2樓/3樓,"6,999元"
329,台中市西屯區河南路二段,河南路二段✨可租汽車位獨洗採光好✨逢甲商圈大遠百,12坪,1,1,1,獨立套房/電梯大廈,6樓/8樓,"8,299元"
330,台中市西屯區台灣大道三段,新光百貨✔1樓套房✨洗衣機飲水機,8.9坪,1,1,,獨立套房/透天厝,1樓/3樓,"4,999元"
331,台中市西屯區華夏巷西五弄,管理員⭐陽台獨洗⭐1樓免爬⭐小資必租,9.5坪,1,1,,獨立套房/公寓,1樓/5樓,"5,999元"
332,台中市西屯區中工三路,中科世貿⭐單人新套⭐獨洗烘⭐一樓免爬,7.5坪,1,1,,獨立套房/透天厝,1樓/4樓,"5,499元"
333,台中市西屯區皇城街,全新電梯◕可報稅◕獨洗陽台◕水湳中國醫,15坪,-,,,獨立套房/透天厝,6樓/7樓,"12,499元"
334,台中市西屯區精明一街,整棟全新⭐陽台獨洗⭐大空間⭐室內機車⭐精誠,15.2坪,-,,,獨立套房/透天厝,3樓/5樓,"13,000元"
335,台中市西屯區慶和街,秒殺近逢甲✌超便宜電梯✌可凸窗曬✌小資首選,11坪,-,,,獨立套房/透天厝,2樓/7樓,"4,500元"
336,台中市西屯區櫻城三街,近逢甲遠百新光⭐新屋獨洗曬⭐機車位,12坪,-,,,獨立套房/透天厝,3樓/6樓,"9,500元"
337,台中市西屯區文華路,逢甲❤共洗獨曬❤採光佳❤小資首選,10坪,1,1,,獨立套房/別墅,3樓/5樓,"5,299元"
338,台中市西屯區順和七街,全新未住⭐️變頻冷氣⭐️陽台獨洗,8.5坪,1,1,,獨立套房/電梯大廈,6樓/9樓,"10,000元"
339,台中市西屯區福上巷,秒殺✨三房一廳✨流理台✨子母車✨機能便利飲水機,20坪,-,,,獨立套房/透天厝,3樓/3樓,"17,300元"
340,台中市西屯區逢甲路,走路逢甲❤可短租❤獨洗曬❤絕佳地點❤可貓寵,12坪,1,1,,獨立套房/透天厝,3樓/5樓,"7,799元"
341,台中市西屯區文華路,可貓寵⭐可短租⭐洗衣免投⭐逢甲,8.9坪,1,1,,獨立套房/公寓,3樓/5樓,"5,499元"
342,台中市西屯區西屯路三段,✨整棟新蓋✨系統裝潢✨陽台獨洗曬✨電梯✨室內機車位,17坪,1,1,,獨立套房/電梯大廈,5樓/6樓,"10,999元"
343,台中市西屯區福雅路,⭐可寵正一房一廳❤️陽台獨洗❤️流理台,16坪,1,1,1,整層住家/電梯大廈,6樓/7樓,"14,999元"
344,台中市西屯區西屯路二段上石北二巷,✌秒殺類一房一廳可貓✌陽台獨洗✌電梯管理員✌,13坪,1,1,1,獨立套房/電梯大廈,3樓/5樓,"12,999元"
345,台中市西屯區福上巷,❤️逢甲商圈❤️可貓❤️雙人床.共洗❤️小資價,8坪,1,1,,獨立套房/透天厝,3樓/3樓,"4,299元"
346,台中市西屯區何厝街,❤️何厝商圈.可報稅❤️可寵❤️陽台獨洗❤️子母車,10坪,1,1,,獨立套房/透天厝,4樓/4樓,"10,500元"
347,台中市西屯區皇城街,✌秒殺近文華類一房一廳✌陽台獨洗✌電磁爐,12坪,-,,,獨立套房/透天厝,2樓/7樓,"11,499元"
348,台中市西屯區寶慶街,近逢甲✅可貓✅乾溼分離✅電梯管理員✅流理臺,13坪,-,,,獨立套房/電梯大廈,3樓/8樓,"10,999元"
349,台中市西屯區順和一街,❤️全新東海中科❤️樓中樓陽台獨洗流理臺❤️機車位,15坪,1,1,1,獨立套房/電梯大廈,1樓~7樓/7樓,"13,999元"
350,台中市西屯區逢甲路,免管⭐可租補⭐大坪數⭐免爬高⭐雙面採光⭐逢甲商圈⭐,10.12坪,-,,,獨立套房/透天厝,3樓/5樓,"7,000元"
351,台中市西屯區西屯路二段,陽台獨洗●近逢甲商圈●可貓可狗●台水台電●免管理費,9.5坪,1,1,,獨立套房/公寓,4樓/6樓,"6,500元"
352,台中市西屯區文華路,秒殺近逢甲多間可選✅可凸窗曬✅可貓✅可短租,11坪,-,,,獨立套房/公寓,3樓/5樓,"5,499元"
353,台中市西屯區工業區三十八路,全新未住⭐大陽台獨洗⭐電梯⭐先看先選⭐機車好停⭐搶,15.12坪,-,,,獨立套房/電梯大廈,8樓/8樓,"11,500元"
354,台中市西屯區西安街,可貓兔◕凸窗獨曬◕學子首選◕走路逢甲僑光,10坪,-,,,獨立套房/公寓,2樓/5樓,"7,600元"
355,台中市西屯區福上巷,⭐可貓❤️超便宜❤️採光,6坪,1,1,,獨立套房/透天厝,3樓/5樓,"4,299元"
356,台中市西屯區青海路二段,⭐可寵❤️2+1房雙陽台❤️可戶籍,20坪,3,1,1,整層住家/電梯大廈,7樓/12樓,"18,500元"
357,台中市西屯區西屯路二段,秒殺近逢甲大坪數✨陽台獨洗✨沙發木質地✨,13.5坪,-,,,獨立套房/透天厝,3樓/5樓,"11,999元"
358,台中市西屯區寶慶街,✌秒殺近逢甲可貓管理員✌可凸窗曬✌小資首選木質,11坪,-,,,獨立套房/電梯大廈,3樓/8樓,"4,999元"
359,台中市西屯區文心路二段,秒殺全新✅2+1房✅可寵✅家具齊全✅電梯管理員,51坪,3,2,2,整層住家/電梯大廈,9樓/13樓,"22,999元"
360,台中市西屯區櫻城五街,⚡️櫻城5-8逢甲中科⚡️陽台獨洗⚡️機車位,10坪,1,1,,獨立套房/電梯大廈,3樓/5樓,"6,999元"
361,台中市西屯區福上巷,秒殺逢甲❤可貓狗首選❤短租精美套房❤機車位❤子母車,8坪,1,1,,獨立套房/透天厝,1樓/6樓,"4,199元"
362,台中市西屯區華夏巷西五弄,✨我要你用心感受✨有夠超級貼心價✨這裡陽台獨洗曬,8坪,1,1,,獨立套房/透天厝,1樓/5樓,"6,500元"
363,台中市西屯區文華路,秒殺逢甲❤可寵物❤電梯精美套房❤機車位❤子母車,10坪,1,1,,獨立套房/電梯大廈,6樓/7樓,"5,499元"
364,台中市西屯區西屯路二段,超便宜/可貓/凸窗曬/逢甲遠百,7坪,-,,,獨立套房/公寓,2樓/5樓,"4,600元"
365,台中市西屯區甘肅路一段,❤文心捷運❤陽台獨洗❤流理臺❤子母車❤,10坪,1,1,1,獨立套房/透天厝,2樓/6樓,"8,499元"
366,台中市西屯區順和七街,中科❤全新一房一廳✔有陽台✔子母車飲水機,12.9坪,1,1,1,獨立套房/電梯大廈,2樓/5樓,"9,499元"
367,台中市西屯區順和七街,台中工業區⭐搶先預定⭐全新未住⭐陽台獨洗⭐採光超好,15坪,1,1,1,獨立套房/電梯大廈,3樓/8樓,"9,499元"
368,台中市西屯區西屯路二段,喜歡你沒道理●陽台獨洗●一房一廳●近逢甲●一層兩戶,12.5坪,1,1,1,獨立套房/透天厝,3樓/4樓,"12,000元"
369,台中市西屯區西屯路三段,享受陽光吧★雙面採光★室內機車★陽台獨洗★東海澄清,17坪,1,1,1,獨立套房/電梯大廈,6樓/8樓,"10,999元"
370,台中市西屯區太原路一段,❤可貓咪❤陽台獨洗✅系統裝潢✨1樓免爬高❤,11坪,1,1,,獨立套房/透天厝,1樓/5樓,"8,000元"
371,台中市西屯區朝馬二街,七期全新｜近74.朝馬轉運站｜大三房平車,57.6坪,3,2,2,整層住家/電梯大廈,2樓/14樓,"38,000元"
372,台中市西屯區逢甲路,小資首選◕大面採光◕可租屋補助◕逢甲僑光,9坪,-,,,獨立套房/透天厝,3樓/5樓,"5,999元"
373,台中市西屯區順和七街,⚡龍井區⚡全新電梯透天⚡變頻冷氣⚡陽台獨洗,11坪,1,1,1,獨立套房/透天厝,5樓/8樓,"9,500元"
374,台中市西屯區成都路,全新秒殺✅美裝潢4+1房平車✅台水電梯管理員,63坪,5,2,2,整層住家/電梯大廈,6樓/15樓,"29,499元"
375,台中市西屯區西屯路二段上石北二巷,1房1廳可貓咪♡︎陽台獨洗曬超優♡︎免爬梯,13坪,1,1,1,獨立套房/電梯大廈,3樓/10樓,"12,999元"
376,台中市西屯區順和七街,全新完工/大空間/陽台獨洗曬/東海商圈,14坪,1,1,,獨立套房/電梯大廈,5樓/8樓,"8,999元"
377,台中市西屯區西屯路二段,新ღ近逢甲ღ獨洗曬ღ採光佳ღ飲水機子母車ღ機車好停,13坪,1,1,,獨立套房/別墅,3樓/5樓,"10,000元"
378,台中市西屯區中平路,西屯最稀有✨大片採光✨子母車獨洗陽台✨電梯近水湳,11坪,1,1,1,獨立套房/電梯大廈,4樓/5樓,"8,499元"
379,台中市西屯區文心路二段,台水台電✅可狗狗✅正兩房✅管理員✅精華地段,25坪,2,2,2,整層住家/電梯大廈,9樓/12樓,"22,999元"
380,台中市西屯區中平路,⚡西屯區⚡精美兩房⚡家具全配⚡有廚房,25坪,2,1,1,整層住家/華廈,7樓/8樓,"18,500元"
381,台中市西屯區市政北五路,全新秒殺✅四房平車✅家具齊全✅台水電梯管理員,66坪,4,2,2,整層住家/電梯大廈,5樓/15樓,"49,999元"
382,台中市西屯區工業區十六路,全新❤️東海中科❤️乾溼分離❤️流理台❤️車位可租,15坪,1,1,,獨立套房/電梯大廈,3樓~4樓/4樓,"9,475元"
383,台中市西屯區西屯路二段,近文華捷運✅陽台獨洗✅免爬高✅雙門大冰箱✅乾溼分離,11.22坪,1,1,,獨立套房/透天厝,2樓/4樓,"10,000元"
384,台中市西屯區西屯路二段, 逢甲ღ共洗凸窗獨曬ღ小資首選ღ子母車ღ,10坪,1,1,,獨立套房/別墅,4樓/6樓,"4,999元"
385,台中市西屯區福安七街,秒殺✅近澄清✅獨洗烘✅系統櫃裝潢✅,12坪,-,,,獨立套房/別墅,4樓/5樓,"7,499元"
386,台中市西屯區逢大路,四房兩衛兩陽臺加車位家俱台水電寵可談,50坪,4,2,2,獨立套房/電梯大廈,6樓/10樓,"24,999元"
387,台中市西屯區逢甲路,❤近逢甲❤可貓❤獨洗獨曬❤可短租❤子母車❤,10坪,1,1,1,獨立套房/別墅,3樓/6樓,"7,499元"
388,台中市西屯區福科路,超秒殺~近榮總❤陽台獨洗❤台水台電❤先搶先贏,13坪,1,1,,獨立套房/透天厝,2樓/6樓,"13,999元"
389,台中市西屯區福順路,小資首選~近中科❤台水電❤1樓免爬梯❤先搶先贏,10坪,1,1,,獨立套房/透天厝,1樓/6樓,"9,999元"
390,台中市西屯區河南路二段,秒殺進逢甲電梯✅獨洗凸窗曬✅沙發大空間✅快點搶✅,13坪,-,,,獨立套房/電梯大廈,6樓/8樓,"8,299元"
391,台中市西屯區至善路,近逢甲僑光⭐電梯管理員⭐雙陽台採光好⭐超大坪數,18坪,1,1,1,獨立套房/電梯大廈,11樓/13樓,"11,999元"
392,台中市西屯區西屯路二段,【秒殺正廣】@電梯@陽台獨洗@台水台電@室內機車位,8坪,-,,,獨立套房/電梯大廈,3樓/8樓,"5,999元"
393,台中市西屯區逢甲路,走路到逢甲⭐獨洗凸窗曬全新裝潢可寵可短租,12坪,-,,,獨立套房/透天厝,2樓/6樓,"7,500元"
394,台中市西屯區華夏巷西五弄,近逢甲大學⭐️可貓寵⭐️機車位1格好溫馨⭐陽台獨洗,13坪,1,1,1,獨立套房/公寓,2樓/5樓,"7,999元"
395,台中市西屯區寧夏西四街,❤近科博館❤陽台獨洗❤流理臺❤子母車❤採光佳❤,10坪,1,1,1,獨立套房/電梯大廈,5樓/7樓,"9,000元"
396,台中市西屯區順和七街,整棟新蓋多間可選陽台獨洗龍井之最,10坪,-,,,整層住家/電梯大廈,1樓~8樓/8樓,"9,499元"
397,台中市西屯區順和七街,整棟新蓋首批入住●陽台獨洗●中科東海首選●變頻冷氣,11.34坪,1,1,,獨立套房/電梯大廈,6樓/8樓,"8,999元"
398,台中市西屯區中工三路,【秒殺正廣】@全新電梯宅@超級大空間@陽台獨洗,15坪,-,,,獨立套房/電梯大廈,5樓/7樓,"12,999元"
399,台中市西屯區西屯路二段,秒殺可貓近逢甲✅可凸窗曬✅單人床✅衛浴開窗✅,9坪,-,,,獨立套房/透天厝,2樓/5樓,"3,599元"
400,台中市西屯區福上巷龍欣三弄,✨電梯上樓✨衛浴乾溼分離✨陽台獨曬✨室內機車位,11坪,1,1,,獨立套房/透天厝,7樓/7樓,"8,499元"
401,台中市西屯區漢口路一段,台水電公寓樓梯⭐2+1房 2衛浴 陽台 廚房,30.5坪,3,2,1,整層住家/公寓,3樓/6樓,"23,000元"
402,台中市西屯區中工三路,抽菸不租⭐陽台獨洗⭐子母車,12.5坪,1,1,,獨立套房/電梯大廈,3樓/8樓,"11,000元"
403,台中市西屯區四川路,稀有釋出✨類一房一廳✨陽台獨洗✨電梯管理員,16坪,1,1,1,獨立套房/電梯大廈,7樓/12樓,"10,499元"
404,台中市西屯區華夏巷西四弄,✌️秒殺近逢甲免爬高✌️可凸窗曬✌️乾濕分離,11坪,-,,,獨立套房/透天厝,1樓/4樓,"6,499元"
405,台中市西屯區西屯路二段上石北二巷,電梯管理員✨可貓美式風✨子母車✨走路逛逢甲,12.5坪,1,1,1,獨立套房/電梯大廈,3樓/7樓,"12,999元"
406,台中市西屯區西林巷,園區旁套房+平車,10坪,1,1,1,獨立套房/透天厝,1樓/1樓,"12,000元"
407,台中市西屯區河南路二段,❤逢甲商圈❤沙發❤獨洗獨曬❤大空間❤採光佳❤,12坪,1,1,,獨立套房/電梯大廈,6樓/7樓,"8,299元"
408,台中市西屯區文心路三段,文心捷運站美宅★世界之心視野２房平車,39.5坪,2,2,2,整層住家/電梯大廈,12樓/18樓,"33,000元"
409,台中市西屯區台灣大道四段,不要錯過●陽台獨洗●正一房一廳可家庭●近澄清#世貿,15.34坪,1,1,1,獨立套房/透天厝,2樓/5樓,"12,999元"
410,台中市西屯區櫻花路,秒殺近逢甲可貓台水電✅陽台獨洗✅可報稅補助✅,12坪,-,,,獨立套房/電梯大廈,6樓/8樓,"8,400元"
411,台中市西屯區櫻城三街,櫻花捷運站✔電梯一房一廳✨飲水機子母車,13坪,1,1,1,獨立套房/別墅,3樓/5樓,"9,499元"
412,台中市西屯區四川路,陽光美房★電梯管理員★陽台獨洗★近永豐棧,16坪,1,1,1,獨立套房/電梯大廈,9樓/10樓,"10,499元"
413,台中市西屯區西屯路二段,【秒殺正廣】@超新@超精華地帶@獨洗曬@走路去逢甲,10坪,-,,,獨立套房/透天厝,3樓/4樓,"9,999元"
414,台中市西屯區至善路,逢甲校門直走/新光對面/中科逢甲舒適房/短租洽,10.54坪,1,1,,獨立套房/電梯大廈,4樓/7樓,"9,800元"
415,台中市西屯區漢口路二段,黃金店面✅營登✅騎樓可用✅台電✅禁重油煙,42坪,-,,,店面/別墅,1樓/1樓,"35,999元"
416,台中市西屯區青海路二段,面至善國中，環境清幽，適合單身上班女生。,6坪,3,2,2,雅房/電梯大廈,5樓/14樓,"3,400元"
417,台中市西屯區逢甲路,台水電⭐電梯⭐管理員⭐大坪數超自在⭐逢甲,10.55坪,-,,,獨立套房/電梯大廈,4樓/5樓,"9,600元"
418,台中市西屯區文華路,可貓咪❤逢甲商圈✅精美裝潢❤機能優❤採光佳,8坪,1,1,,獨立套房/公寓,3樓/6樓,"6,000元"
419,台中市西屯區華美西街二段,秒殺全新✅三房✅可寵✅現況出租✅爬梯四樓,42坪,3,1,2,整層住家/別墅,4樓/5樓,"13,999元"
420,台中市西屯區西屯路二段湳子巷,秒殺進逢甲✌獨洗曬✌流理臺✌乾溼分離,12坪,-,,,獨立套房/公寓,3樓/5樓,"6,499元"
421,台中市西屯區烈美街,報稅補助✓逢甲僑光✓大落地窗✓走路逛逢甲✓,10坪,1,1,,獨立套房/電梯大廈,3樓/7樓,"5,999元"
422,台中市西屯區福科路,【秒殺正廣】@電梯@陽台@中科首選@超級大空間,10坪,-,,,獨立套房/透天厝,1樓/8樓,"9,999元"
423,台中市西屯區中工三路,【秒殺正廣】@全新電梯宅@陽台獨洗@近中科澄清~,10坪,-,,,獨立套房/電梯大廈,2樓/7樓,"10,999元"
424,台中市西屯區福上巷,【秒殺正廣】@小資首選@可貓寵@近逢甲僑光~,7坪,-,,,獨立套房/透天厝,3樓/3樓,"4,500元"
425,台中市西屯區中工三路,❤️中科台積電澄清❤️陽台獨洗浴室開窗❤️優質宅,11坪,1,1,,獨立套房/電梯大廈,5樓/7樓,"8,999元"
426,台中市西屯區櫻城三街,秒殺近逢甲超新電梯✅陽台獨洗✅衛浴開窗,12坪,-,,,獨立套房/透天厝,2樓/8樓,"9,499元"
427,台中市西屯區櫻城三街,❤️逢甲商圈❤️全新❤️陽台獨洗沙發❤️子母車,12坪,1,1,1,獨立套房/電梯大廈,5樓/7樓,"9,499元"
428,台中市西屯區中工三路,❤️近中科工業區❤️全新完工❤️陽台獨洗流理臺❤️,14坪,1,1,,獨立套房/電梯大廈,5樓/7樓,"10,999元"
429,台中市西屯區長安路一段,文心路旁1F角間店面～適辦公、工作室,40坪,-,,,店面/透天厝,1樓/4樓,"28,000元"
430,台中市西屯區中清路二段,全新免仲/短租加價/大坪數/獨洗曬/近逢甲中科74,13坪,-,,,獨立套房/透天厝,1樓/5樓,"8,999元"
431,台中市西屯區朝富路,秒殺近朝馬✅精美裝潢✅乾濕分離✅系統櫃✅,12坪,-,,,獨立套房/透天厝,4樓/5樓,"9,799元"
432,台中市西屯區上石路,⭐新光遠百⭐爬二樓⭐子母車飲水機⭐巷內安靜,10坪,1,1,,獨立套房/透天厝,2樓/4樓,"7,800元"
433,台中市西屯區工業區三十八路,全新未住⭐第一手傢俱⭐電梯⭐先看先選⭐機車好停⭐搶,10.12坪,-,,,獨立套房/電梯大廈,6樓/8樓,"9,000元"
434,台中市西屯區西安街,逢甲❤共洗凸窗曬衣❤採光佳❤小資首選,10坪,1,1,,獨立套房/別墅,5樓/6樓,"4,799元"
435,台中市西屯區福上巷,秒殺逢甲❤可寵短租首選❤精美套房❤子母車,12坪,1,1,,獨立套房/透天厝,2樓/5樓,"6,499元"
436,台中市西屯區福順路,全新完工~近中科❤台水台電❤陽台獨洗❤先搶先贏,12坪,1,1,,獨立套房/透天厝,2樓/6樓,"10,999元"
437,台中市西屯區惠中路,全新裝潢❤️｜間間獨洗曬｜多間選擇｜近遠百新光,10坪,1,1,,獨立套房/透天厝,3樓/5樓,"7,799元"
438,台中市西屯區順和一街,整棟全新⭐陽台獨洗⭐子母車⭐機車位⭐東海,13.5坪,-,,,獨立套房/電梯大廈,3樓/7樓,"10,500元"
439,台中市西屯區順和七街,全新完工✨電梯新屋✨精美套房✨子母車✨陽台獨洗,12坪,1,1,,獨立套房/電梯大廈,2樓/7樓,"9,000元"
440,台中市西屯區櫻城三街,近逢甲僑光★全新電梯★陽台獨洗★室內機車★秒殺,12坪,1,1,1,獨立套房/電梯大廈,3樓/7樓,"9,499元"
441,台中市西屯區西屯路二段上石北二巷,✨喵喵喵可貓✨秒秒秒殺啦✨類一房一廳把握機會了,14坪,1,1,1,獨立套房/電梯大廈,3樓/11樓,"13,000元"
442,台中市西屯區中平路,近逢甲水湳中科✅陽台獨洗✅室內機車位✅,12坪,-,,,獨立套房/透天厝,3樓/6樓,"8,500元"
443,台中市西屯區中平路,✓水湳中國醫旁✓陽台獨洗✓室內機車位✓9成新✓,11坪,1,1,,獨立套房/電梯大廈,3樓~5樓/6樓,"8,499元"
444,台中市西屯區寶慶街,精銳豪宅案✨全新兩房✨附車位網路第四台✨近逢甲商圈,45坪,2,1,1,獨立套房/電梯大廈,23樓/25樓,"38,999元"
445,台中市西屯區福順路,超秒殺~近中科❤全新未住❤台水台電❤先搶先贏,13坪,1,1,,獨立套房/透天厝,2樓/7樓,"11,999元"
446,台中市西屯區福上巷,電梯/陽台/可短租半年/逢甲遠百,10坪,-,,,獨立套房/透天厝,2樓/6樓,"7,800元"
447,台中市西屯區西安街,類一房一廳✨可報稅租補小家庭✨陽台獨洗✨電梯管理員,18.5坪,1,1,1,整層住家/電梯大廈,2樓/12樓,"15,999元"
448,台中市西屯區西屯路二段,近逢甲僑光⭐一年裝潢⭐陽台獨洗凸窗曬,12坪,-,,,獨立套房/透天厝,2樓/6樓,"9,500元"
449,台中市西屯區四川路,你是我的摯愛●陽台獨洗●一房一廳●電梯管理員●,12.58坪,1,1,1,獨立套房/電梯大廈,7樓/16樓,"10,500元"
450,台中市西屯區西屯路二段,西屯路✔一房一廳❤有陽台機車位,11.8坪,1,1,1,獨立套房/電梯大廈,7樓/8樓,"12,499元"
451,台中市西屯區逢明街,⚡西屯區⚡大套房⚡可寵可貓可狗⚡陽台獨洗,18坪,1,1,1,整層住家/電梯大廈,4樓/12樓,"21,000元"
452,台中市西屯區西屯路二段上石北二巷,可貓一房一廳◕電梯管理◕獨洗陽台◕中科逢甲中國醫,15坪,1,1,1,獨立套房/電梯大廈,3樓/10樓,"12,999元"
453,台中市西屯區四川路,秒殺✨採光佳✨飲水機✨子母車✨機能便利,12坪,-,,,獨立套房/電梯大廈,7樓/7樓,"8,500元"
454,台中市西屯區順和三街,近東海澄清醫院短租⭐全新樓中樓⭐獨洗獨曬⭐,15坪,-,,,獨立套房/樓中樓,2樓/7樓,"12,999元"
455,台中市西屯區四川路,秒殺類一房一廳✅陽台獨洗✅精美裝潢✅,13坪,-,,,獨立套房/電梯大廈,9樓/12樓,"10,499元"
456,台中市西屯區何厝街,黃金店面✅三角窗✅全新完工✅營登✅禁餐飲✅門前停車,42坪,-,,,店面/別墅,1樓/1樓,"39,999元"
457,台中市西屯區逢甲路,走路到逢甲★投幣共洗★機能方便★全新裝潢★子母車,12坪,1,1,1,獨立套房/透天厝,3樓/8樓,"5,499元"
458,台中市西屯區福安二街,中科世貿⭐免爬高⭐衛浴窗⭐小資價,8.5坪,1,1,,獨立套房/透天厝,2樓/5樓,"5,699元"
459,台中市西屯區甘肅路一段,✨全新大坪數✨一房一廳✨小和室✨質感裝潢✨可養貓貓,18坪,1,1,1,獨立套房/透天厝,2樓/5樓,"14,799元"
460,台中市西屯區華夏巷西五弄,❧管理員～低樓層免爬高❧即刻入住全配備❧逢甲僑光,9.23坪,1,1,,獨立套房/公寓,1樓/5樓,"6,499元"
461,台中市西屯區福吉街,西屯區⚡全新兩房⚡含網路⚡含汽機車位,20坪,2,1,1,整層住家/電梯大廈,3樓/15樓,"22,000元"
462,台中市西屯區至善路,全新秒殺✅二房汽車位✅台水電梯管理員✅工作證明,46坪,2,1,2,整層住家/電梯大廈,8樓/15樓,"25,499元"
463,台中市西屯區福安七街,❤️榮總澄清中科❤️陽台獨洗❤️飲水機子母車❤️,10坪,1,1,,獨立套房/電梯大廈,3樓/7樓,"9,499元"
464,台中市西屯區工業區三十八路,✓全新美美的✓樓中樓✓陽台獨洗✓機車位✓多間選選,15坪,1,1,1,獨立套房/透天厝,1樓~6樓/6樓,"12,999元"
465,台中市西屯區何厝街,✨秒殺噹噹✨滾燙的洗衣機有夠讚✨整個全新你賺到✨,9坪,1,1,,獨立套房/透天厝,4樓/8樓,"7,800元"
466,台中市西屯區台灣大道三段,全新秒殺✅一房一廳✅報稅租補入戶籍✅台水電梯管理員,19坪,1,1,1,整層住家/電梯大廈,13樓/18樓,"38,799元"
467,台中市西屯區朝富路,跟新光三越當鄰居✨回家可泡澡✨子母車飲水機✨,12坪,1,1,,獨立套房/透天厝,4樓/5樓,"9,800元"
468,台中市西屯區西屯路二段,【秒殺正廣】@超精華地帶@沙發@走路去逢甲~,10坪,-,,,獨立套房/透天厝,3樓/4樓,"9,999元"
469,台中市西屯區西屯路二段,逢甲中科的最愛★電梯★陽台獨洗★衛浴開窗★機車位,12坪,1,1,,獨立套房/電梯大廈,5樓/8樓,"12,000元"
470,台中市西屯區福星路,可貓新裝潢◕電梯◕共洗烘◕逢甲僑光,11坪,-,,,獨立套房/電梯大廈,6樓/8樓,"7,499元"
471,台中市西屯區順和七街,近東海榮總⛅全新未住⛅衛浴開窗⛅獨洗曬,12坪,-,,,獨立套房/透天厝,3樓/6樓,"8,999元"
